total=601
t=0.010000 n=14
49516.189995 1.503721 -0.024671
4183.851162 1.267994 -0.294946
50232.151149 1.587812 -0.052241
27595.591305 1.551683 -0.053140
45796.487452 1.459262 0.004193
55597.667383 1.464439 -0.036103
25866.129780 1.372069 -0.048355
18215.385565 1.202193 -0.002279
40982.832272 1.466514 -0.052532
46823.876049 1.443249 -0.069566
t=0.240000 n=17
48289.538840 1.434913 -0.066258
38694.734581 1.503089 -0.060105
45784.109629 1.507912 -0.047523
45090.456062 1.493169 -0.011240
31436.907027 1.430114 -0.065884
36709.941596 1.394603 -0.092603
12230.877676 1.546002 -0.112083
2436.522516 1.655020 -0.542798
40989.465760 1.445894 0.006685
41738.947541 1.438383 -0.035868
18330.001571 1.207791 0.022705
7137.254050 0.331093 0.046390
17571.217762 1.546946 -0.073450
31793.141887 1.398106 -0.087689
16452.776419 1.162946 -0.017075
53867.765696 1.440496 -0.042846
46759.159300 1.442140 -0.068167
t=0.250000 n=14
45998.561941 1.588441 -0.044029
45149.313506 1.456135 -0.062813
27711.758583 1.416751 -0.114155
48191.339020 1.582986 -0.026722
18042.480564 1.363784 -0.194335
50503.198233 1.516002 -0.006602
25016.227473 1.302286 -0.053496
5212.747093 1.190313 -0.278557
4138.668287 -0.025935 -0.092498
26795.447736 1.309022 -0.022225
31665.243806 1.598115 -0.056701
32860.350547 1.385169 -0.037923
6162.629021 0.250313 -0.000675
46680.605899 1.445261 -0.063907
t=0.260000 n=10
9516.423858 0.716956 -0.277433
24980.625879 1.394125 0.003901
20141.815943 1.567252 -0.058543
46688.533895 1.492875 -0.007384
32780.333232 1.438299 -0.062379
20044.146767 1.605899 -0.028882
41123.638395 1.499018 -0.051818
51318.659184 1.479327 -0.041759
31038.857203 1.504667 -0.045870
46609.051522 1.442306 -0.060975
t=0.270000 n=23
55693.874747 1.527290 0.006628
15637.403024 1.544068 -0.152586
34972.470946 1.434431 -0.020644
4178.278644 1.578588 -0.845466
20304.557658 1.359595 -0.011883
7567.340738 1.098929 -0.451504
38112.342067 1.580859 -0.051019
22754.508058 1.578979 -0.057599
8879.725546 0.655769 -0.403570
50202.057464 1.468313 -0.042453
37703.151964 1.521932 0.001144
4837.077321 -0.936350 -0.452934
10923.199685 0.979734 -0.116364
23187.108145 1.464125 0.018914
5069.361864 1.796435 -0.693291
5800.658787 0.194421 -0.328712
33452.100560 1.457507 -0.014451
16690.181765 1.304505 -0.127376
6098.129446 1.101569 -0.082376
27881.074362 1.330465 -0.052764
7600.610114 -0.055095 -0.426129
36556.802165 1.408747 -0.003907
46526.166050 1.437311 -0.067199
t=0.280000 n=23
6493.553329 -0.596741 -0.527154
3704.584599 1.284087 -0.137319
7490.150340 1.221177 -0.104238
35494.699063 1.552417 -0.093106
3283.075234 0.247577 -0.705453
6659.333901 1.709389 -0.278533
18094.447922 1.625473 -0.162699
7864.553449 1.592634 -0.214933
41776.900750 1.483237 -0.083118
34604.517483 1.493556 -0.028150
51321.761566 1.440377 0.008223
49213.787530 1.433798 -0.063690
5292.001928 0.038950 -0.425123
37800.251684 1.554755 -0.091375
3094.160038 -1.850846 -1.369008
23835.443151 1.388581 -0.018750
54986.808209 1.478604 -0.030648
12465.889226 0.974293 -0.188156
6022.018215 -0.005370 -0.324816
35390.201574 1.458840 -0.097557
39349.422471 1.479408 -0.088500
27718.360599 1.603273 -0.099548
46462.861689 1.437171 -0.066276
t=0.290000 n=28
14227.710406 1.277261 0.019047
27668.453712 1.576395 -0.071895
50835.005201 1.440421 -0.052528
5029.066580 0.674585 -0.764666
21917.617895 1.370259 0.014881
31332.389244 1.508392 -0.029854
17125.498512 1.209050 -0.110476
43073.867173 1.499856 -0.043990
26282.583118 1.538445 -0.132609
18722.167857 1.393445 -0.072707
45280.477451 1.502064 -0.037447
31221.934728 1.501339 -0.081933
28225.477199 1.378941 -0.089548
17961.397454 1.292061 0.022017
8174.196164 1.557593 -0.264812
